[E 260921 18:01:54 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/searchScrip. Error: Scrip not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/searchScrip, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NFO', 'searchscrip': 'NIFTY FUT'}, Response: {'message': 'Scrip not found in scrip master cache for the given exchange', 'errorcode': 'AB4047', 'status': False, 'data': None}
[E 260921 18:03:47 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/gainersLosers. Error: Invalid data type. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/gainersLosers, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'type': 'gainers', 'exchange': 'NSE'}, Response: {'message': 'Invalid data type', 'errorcode': None, 'status': False, 'data': None}
[E 260921 18:03:47 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/gainersLosers. Error: Invalid data type. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/gainersLosers, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'type': 'losers', 'exchange': 'NSE'}, Response: {'message': 'Invalid data type', 'errorcode': None, 'status': False, 'data': None}
[E 260921 20:39:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/gainersLosers. Error: Invalid expiry type. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/gainersLosers, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'datatype': 'PercPriceGainers'}, Response: {'message': 'Invalid expiry type', 'errorcode': None, 'status': False, 'data': None}
[E 260921 21:01:23 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260921 21:03:20 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/OIBuildup. Error: Invalid expiry type. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/OIBuildup, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NFO', 'symboltoken': '68407', 'expirydate': '29SEP26', 'resolution': '5'}, Response: {'message': 'Invalid expiry type', 'errorcode': None, 'status': False, 'data': None}
[E 260921 21:03:21 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260921 21:03:36 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/OIBuildup. Error: Invalid expiry type. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/OIBuildup, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NFO', 'symboltoken': '68407', 'expirydate': '29SEP2026', 'resolution': '5'}, Response: {'message': 'Invalid expiry type', 'errorcode': None, 'status': False, 'data': None}
[E 260921 21:04:01 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/OIBuildup. Error: Invalid expiry type. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/OIBuildup, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NFO', 'symboltoken': '73927', 'expirydate': '29SEP2026', 'resolution': '5'}, Response: {'message': 'Invalid expiry type', 'errorcode': None, 'status': False, 'data': None}
[E 260921 21:08:53 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260921 21:23:06 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
