[E 260922 00:02:08 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260922 00:02:50 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260922 00:11:41 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek. Error: Invalid expiry date. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/marketData/v1/optionGreek, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'd2:ed:a5:12:11:ea', 'Accept': 'application/json', 'X-PrivateKey': 'MqNi8riq', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'name': 'NIFTY', 'expirydate': '29SEP26'}, Response: {'message': 'Invalid expiry date', 'errorcode': None, 'status': False, 'data': None}
[E 260922 10:13:01 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[E 260922 10:13:03 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[E 260922 10:14:32 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[E 260922 10:14:34 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[E 260922 10:14:38 smartWebSocketV2:87] Invalid initialization parameters. Provide valid values for all the tokens.
[W 260922 10:15:08 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:15:32 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:15:42 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:16:01 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:17:02 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:17:18 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:18:25 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:18:36 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:09 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:19:15 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:19:20 smartWebSocketV2:342] Connection closed due to max retry attempts reached.
[W 260922 10:20:04 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[W 260922 10:20:34 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[I 260922 10:25:06 smartConnect:496] Search successful. Found 6320 trading symbols for the given query:
    1. exchange: NFO, tradingsymbol: NIFTY06OCT2617850PE, symboltoken: 46918
    2. exchange: NFO, tradingsymbol: NIFTY06OCT2617900CE, symboltoken: 46919
    3. exchange: NFO, tradingsymbol: NIFTY06OCT2617900PE, symboltoken: 46920
    4. exchange: NFO, tradingsymbol: NIFTY06OCT2617950CE, symboltoken: 46921
    5. exchange: NFO, tradingsymbol: NIFTY06OCT2617950PE, symboltoken: 46922
    6. exchange: NFO, tradingsymbol: NIFTY06OCT2618000PE, symboltoken: 46924
    7. exchange: NFO, tradingsymbol: NIFTY06OCT2618050CE, symboltoken: 46925
    8. exchange: NFO, tradingsymbol: NIFTY06OCT2618050PE, symboltoken: 46926
    9. exchange: NFO, tradingsymbol: NIFTY06OCT2618100CE, symboltoken: 46927
    10. exchange: NFO, tradingsymbol: NIFTY06OCT2618100PE, symboltoken: 46928
    11. exchange: NFO, tradingsymbol: NIFTY06OCT2618150CE, symboltoken: 45889
    12. exchange: NFO, tradingsymbol: NIFTY06OCT2618150PE, symboltoken: 45890
    13. exchange: NFO, tradingsymbol: NIFTY06OCT2618200CE, symboltoken: 42490
    14. exchange: NFO, tradingsymbol: NIFTY06OCT2618200PE, symboltoken: 42491
    15. exchange: NFO, tradingsymbol: NIFTY06OCT2618250PE, symboltoken: 42493
    16. exchange: NFO, tradingsymbol: NIFTY06OCT2618300CE, symboltoken: 42494
    17. exchange: NFO, tradingsymbol: NIFTY06OCT2618300PE, symboltoken: 42495
    18. exchange: NFO, tradingsymbol: NIFTY06OCT2618350CE, symboltoken: 42496
    19. exchange: NFO, tradingsymbol: NIFTY06OCT2618350PE, symboltoken: 42497
    20. exchange: NFO, tradingsymbol: NIFTY06OCT2618400CE, symboltoken: 44322
    21. exchange: NFO, tradingsymbol: NIFTY06OCT2618450CE, symboltoken: 44324
    22. exchange: NFO, tradingsymbol: NIFTY06OCT2618450PE, symboltoken: 44327
    23. exchange: NFO, tradingsymbol: NIFTY06OCT2618500CE, symboltoken: 44328
    24. exchange: NFO, tradingsymbol: NIFTY06OCT2618500PE, symboltoken: 44329
    25. exchange: NFO, tradingsymbol: NIFTY06OCT2618550CE, symboltoken: 43645
    26. exchange: NFO, tradingsymbol: NIFTY06OCT2618550PE, symboltoken: 43646
    27. exchange: NFO, tradingsymbol: NIFTY06OCT2618600CE, symboltoken: 42716
    28. exchange: NFO, tradingsymbol: NIFTY06OCT2618600PE, symboltoken: 42717
    29. exchange: NFO, tradingsymbol: NIFTY06OCT2618650CE, symboltoken: 41895
    30. exchange: NFO, tradingsymbol: NIFTY06OCT2618650PE, symboltoken: 41896
    31. exchange: NFO, tradingsymbol: NIFTY06OCT2618700CE, symboltoken: 41898
    32. exchange: NFO, tradingsymbol: NIFTY06OCT2618700PE, symboltoken: 41899
    33. exchange: NFO, tradingsymbol: NIFTY06OCT2618750CE, symboltoken: 41900
    34. exchange: NFO, tradingsymbol: NIFTY06OCT2618750PE, symboltoken: 41903
    35. exchange: NFO, tradingsymbol: NIFTY06OCT2618800CE, symboltoken: 40497
    36. exchange: NFO, tradingsymbol: NIFTY06OCT2618800PE, symboltoken: 40498
    37. exchange: NFO, tradingsymbol: NIFTY06OCT2618850CE, symboltoken: 40499
    38. exchange: NFO, tradingsymbol: NIFTY06OCT2618850PE, symboltoken: 40500
    39. exchange: NFO, tradingsymbol: NIFTY06OCT2618900CE, symboltoken: 40501
    40. exchange: NFO, tradingsymbol: NIFTY06OCT2618900PE, symboltoken: 40502
    41. exchange: NFO, tradingsymbol: NIFTY06OCT2618950CE, symboltoken: 40503
    42. exchange: NFO, tradingsymbol: NIFTY06OCT2618950PE, symboltoken: 40504
    43. exchange: NFO, tradingsymbol: NIFTY06OCT2619000CE, symboltoken: 40505
    44. exchange: NFO, tradingsymbol: NIFTY06OCT2619000PE, symboltoken: 40506
    45. exchange: NFO, tradingsymbol: NIFTY06OCT2619050CE, symboltoken: 40507
    46. exchange: NFO, tradingsymbol: NIFTY06OCT2619050PE, symboltoken: 40508
    47. exchange: NFO, tradingsymbol: NIFTY06OCT2619100CE, symboltoken: 40510
    48. exchange: NFO, tradingsymbol: NIFTY06OCT2619100PE, symboltoken: 40511
    49. exchange: NFO, tradingsymbol: NIFTY06OCT2619150CE, symboltoken: 40512
    50. exchange: NFO, tradingsymbol: NIFTY06OCT2619150PE, symboltoken: 40513
    51. exchange: NFO, tradingsymbol: NIFTY06OCT2619200CE, symboltoken: 40514
    52. exchange: NFO, tradingsymbol: NIFTY06OCT2619200PE, symboltoken: 40516
    53. exchange: NFO, tradingsymbol: NIFTY06OCT2619250CE, symboltoken: 40517
    54. exchange: NFO, tradingsymbol: NIFTY06OCT2619250PE, symboltoken: 40518
    55. exchange: NFO, tradingsymbol: NIFTY06OCT2619300CE, symboltoken: 40519
    56. exchange: NFO, tradingsymbol: NIFTY06OCT2619300PE, symboltoken: 40520
    57. exchange: NFO, tradingsymbol: NIFTY06OCT2619350CE, symboltoken: 40521
