[W 260923 10:34:10 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[I 260923 10:34:12 smartConnect:496] Search successful. Found 7220 trading symbols for the given query:
    1. exchange: NFO, tradingsymbol: NIFTY03NOV2618100CE, symboltoken: 52925
    2. exchange: NFO, tradingsymbol: NIFTY03NOV2618100PE, symboltoken: 52930
    3. exchange: NFO, tradingsymbol: NIFTY03NOV2618150CE, symboltoken: 52931
    4. exchange: NFO, tradingsymbol: NIFTY03NOV2618150PE, symboltoken: 52932
    5. exchange: NFO, tradingsymbol: NIFTY03NOV2618200CE, symboltoken: 52933
    6. exchange: NFO, tradingsymbol: NIFTY03NOV2618200PE, symboltoken: 52936
    7. exchange: NFO, tradingsymbol: NIFTY03NOV2618250CE, symboltoken: 52937
    8. exchange: NFO, tradingsymbol: NIFTY03NOV2618250PE, symboltoken: 52938
    9. exchange: NFO, tradingsymbol: NIFTY03NOV2618300CE, symboltoken: 52939
    10. exchange: NFO, tradingsymbol: NIFTY03NOV2618300PE, symboltoken: 52946
    11. exchange: NFO, tradingsymbol: NIFTY03NOV2618350CE, symboltoken: 52950
    12. exchange: NFO, tradingsymbol: NIFTY03NOV2618350PE, symboltoken: 52959
    13. exchange: NFO, tradingsymbol: NIFTY03NOV2618400CE, symboltoken: 52960
    14. exchange: NFO, tradingsymbol: NIFTY03NOV2618400PE, symboltoken: 52963
    15. exchange: NFO, tradingsymbol: NIFTY03NOV2618450CE, symboltoken: 52964
    16. exchange: NFO, tradingsymbol: NIFTY03NOV2618450PE, symboltoken: 52971
    17. exchange: NFO, tradingsymbol: NIFTY03NOV2618500CE, symboltoken: 52972
    18. exchange: NFO, tradingsymbol: NIFTY03NOV2618500PE, symboltoken: 52982
    19. exchange: NFO, tradingsymbol: NIFTY03NOV2618550CE, symboltoken: 52983
    20. exchange: NFO, tradingsymbol: NIFTY03NOV2618550PE, symboltoken: 52997
    21. exchange: NFO, tradingsymbol: NIFTY03NOV2618600CE, symboltoken: 52998
